,Links,Category,Product_name,Price,Package,Quantity
136,https://ickala.com/dc-to-dc-converters/41799-mpw1034-41799.html,dc-to-dc-converters,MPW1034,12875080,None,12
137,https://ickala.com/dc-to-dc-converters/42088-miw2021.html,dc-to-dc-converters,MIW2021,7695400,None,12
138,https://ickala.com/dc-to-dc-converters/42102-miw1017.html,dc-to-dc-converters,MIW1017,5035800,None,12
139,https://ickala.com/dc-to-dc-converters/42597-miwi10-24s05.html,dc-to-dc-converters,MIWI10-24S05,12533910,None,12
140,https://ickala.com/dc-to-dc-converters/43265-mcwi05-24s033.html,dc-to-dc-converters,MCWI05-24S033,7465410,None,12
141,https://ickala.com/dc-to-dc-converters/43883-mcwi05-24s15-43883.html,dc-to-dc-converters,MCWI05-24S15,5450000,None,12
142,https://ickala.com/dc-to-dc-converters/41972-mihw1018-41966-41967-41968-41969-41970-41971-41972.html,dc-to-dc-converters,MSKW1042,8709100,None,11
143,https://ickala.com/dc-to-dc-converters/23402-vnd5-12s05.html,dc-to-dc-converters,VND5-12S05,11414480,None,10
144,https://ickala.com/dc-ac-converter/22174-pda30-9711.html,dc-ac-converter,PDA30-9711,139202810,None,10
145,https://ickala.com/dc-to-dc-converters/28617-ma01-05s09.html,dc-to-dc-converters,MA01-05S09-Copy,2960440,None,10
146,https://ickala.com/dc-to-dc-converters/28618-ma01-05s12.html,dc-to-dc-converters,MA01-05S12-Copy,2960440,None,10
147,https://ickala.com/dc-to-dc-converters/43261-mpw1037-43261.html,dc-to-dc-converters,MPW1037,25567040,None,11
148,https://ickala.com/dc-to-dc-converters/28619-ma01-05s15.html,dc-to-dc-converters,MA01-05S15-Copy,2960440,None,10
149,https://ickala.com/dc-to-dc-converters/28621-ma01-05d09.html,dc-to-dc-converters,MA01-05D09-Copy,3900020,None,10
150,https://ickala.com/dc-to-dc-converters/28634-ma01-24s12.html,dc-to-dc-converters,MA01-24S12-Copy,2960440,None,10
151,https://ickala.com/dc-to-dc-converters/28636-ma01-24d05.html,dc-to-dc-converters,MA01-24D05-Copy,3900020,None,10
152,https://ickala.com/dc-to-dc-converters/28638-ma01-24d12.html,dc-to-dc-converters,MA01-24D12-Copy,3900020,None,10
153,https://ickala.com/dc-to-dc-converters/28644-ma03-12s05.html,dc-to-dc-converters,MA03-12S05-Copy,4786190,None,10
154,https://ickala.com/dc-to-dc-converters/28647-ma03-12s15.html,dc-to-dc-converters,MA03-12S15-Copy,4786190,None,10
155,https://ickala.com/dc-to-dc-converters/28643-ma03-05s15.html,dc-to-dc-converters,MA03-05S15-Copy,4786190,None,10
156,https://ickala.com/dc-to-dc-converters/28649-ma03-24s09.html,dc-to-dc-converters,MA03-24S09-Copy,4786190,None,10
157,https://ickala.com/dc-to-dc-converters/28646-ma03-12s12.html,dc-to-dc-converters,MA03-12S12-Copy,4786190,None,10
158,https://ickala.com/dc-to-dc-converters/28652-mau201.html,dc-to-dc-converters,MAU201-Copy,3900020,None,10
159,https://ickala.com/dc-to-dc-converters/28655-mau205.html,dc-to-dc-converters,MAU205-Copy,3900020,None,10
160,https://ickala.com/dc-to-dc-converters/28654-mau204.html,dc-to-dc-converters,MAU204-Copy,3900020,None,10
161,https://ickala.com/dc-to-dc-converters/28653-mau203.html,dc-to-dc-converters,MAU203-Copy,3900020,None,10
162,https://ickala.com/dc-to-dc-converters/28657-mau207.html,dc-to-dc-converters,MAU207-Copy,4786190,None,10
163,https://ickala.com/dc-to-dc-converters/28660-mau211.html,dc-to-dc-converters,MAU211-Copy,3900020,None,10
164,https://ickala.com/dc-to-dc-converters/28664-mau215.html,dc-to-dc-converters,MAU215-Copy,3900020,None,10
165,https://ickala.com/dc-to-dc-converters/28665-mau216.html,dc-to-dc-converters,MAU216-Copy,4786190,None,10
166,https://ickala.com/dc-to-dc-converters/28668-mau219.html,dc-to-dc-converters,MAU219-Copy,4786190,None,10
167,https://ickala.com/dc-to-dc-converters/28666-mau217.html,dc-to-dc-converters,MAU217-Copy,4786190,None,10
168,https://ickala.com/dc-to-dc-converters/28674-mau226.html,dc-to-dc-converters,MAU226-Copy,4786190,None,10
169,https://ickala.com/dc-to-dc-converters/28676-mau228.html,dc-to-dc-converters,MAU228-Copy,4786190,None,10
170,https://ickala.com/dc-to-dc-converters/28678-mau301.html,dc-to-dc-converters,MAU301-Copy,3900020,None,10
171,https://ickala.com/dc-to-dc-converters/28685-mau311.html,dc-to-dc-converters,MAU311-Copy,3900020,None,10
172,https://ickala.com/dc-to-dc-converters/28680-mau303.html,dc-to-dc-converters,MAU303-Copy,3900020,None,10
173,https://ickala.com/dc-to-dc-converters/28693-mau316.html,dc-to-dc-converters,MAU316-Copy,4786190,None,10
174,https://ickala.com/dc-to-dc-converters/28681-mau304.html,dc-to-dc-converters,MAU304-Copy,3900020,None,10
175,https://ickala.com/dc-to-dc-converters/28697-mau326.html,dc-to-dc-converters,MAU326-Copy,4786190,None,10
176,https://ickala.com/dc-to-dc-converters/28700-mcwi03-12s05.html,dc-to-dc-converters,MCWI03-12S05-Copy,7268120,None,10
177,https://ickala.com/dc-to-dc-converters/28724-mcwi03-48d12.html,dc-to-dc-converters,MCWI03-48D12-Copy,7798950,None,10
